chunk,gate_case,seed,numeric_path,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count
32,constant_-3,0,fp32_bf16,factorized,58,58,1,5,464,,0.0,1.0045166015625,,,528
32,constant_-3,0,ftz_model_bf16,prefix,0,0,0,0,,,-96.00001525878906,-3.0,2.288818359375e-05,2.407964644276604e-07,32
32,constant_-3,0,ftz_model_bf16,decay,3,3,0,0,29,30,0.0,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,32
32,constant_-3,0,ftz_model_bf16,inverse,0,0,3,0,29,30,20.125,6.08121808071599e+37,,,32
32,constant_-3,0,ftz_model_bf16,direct,3,3,0,0,465,,0.0,1.0,1.7619132136055538e-05,1.8540562140202234e-05,528
32,constant_-3,0,ftz_model_bf16,factorized,87,87,0,6,435,,0.0,1.00457763671875,,,528
64,constant_-3,0,fp64,prefix,0,0,0,0,,,-192.0,-3.0,0.0,0.0,64
64,constant_-3,0,fp64,decay,0,0,0,0,,,4.125337404615185e-84,0.049787068367863944,0.0,0.0,64
64,constant_-3,0,fp64,inverse,0,0,0,0,,,20.085536923187668,2.4240441494100796e+83,0.0,0.0,64
64,constant_-3,0,fp64,direct,0,0,0,0,,,8.285961676100547e-83,1.0,0.0,0.0,2080
