case,cache,stage,metric,unit,value
h12_n1,cold,k1,lts__throughput.max.pct_of_peak_sustained_elapsed,%,66.09
h12_n1,cold,k1,lts__throughput.min.pct_of_peak_sustained_elapsed,%,28.55
h12_n1,cold,k1,lts__throughput.sum.pct_of_peak_sustained_elapsed,%,58.20
h12_n1,cold,k1,numa__cpu_affinity,,1
h12_n1,cold,k1,numa__dev_display_name_all,,1
h12_n1,cold,k1,numa__id_cpu,,1
h12_n1,cold,k1,numa__id_memory,,1
h12_n1,cold,k1,nvlink__bandwidth,,0
h12_n1,cold,k1,nvlink__count_logical,,0
h12_n1,cold,k1,nvlink__count_physical,,0
h12_n1,cold,k1,nvlink__destination_ports,,0
h12_n1,cold,k1,nvlink__dev0Id,,0
h12_n1,cold,k1,nvlink__dev0type,,0
h12_n1,cold,k1,nvlink__dev1Id,,0
h12_n1,cold,k1,nvlink__dev1type,,0
h12_n1,cold,k1,nvlink__dev_display_name_all,,1
h12_n1,cold,k1,nvlink__enabled_mask,,262143
h12_n1,cold,k1,nvlink__is_direct_link,,0
h12_n1,cold,k1,nvlink__is_nvswitch_connected,,0
h12_n1,cold,k1,nvlink__max_count,,18
h12_n1,cold,k1,nvlink__peer_access,,0
h12_n1,cold,k1,nvlink__peer_atomic,,0
h12_n1,cold,k1,nvlink__source_ports,,0
h12_n1,cold,k1,nvlink__system_access,,0
h12_n1,cold,k1,nvlink__system_atomic,,0
h12_n1,cold,k1,profiler__perfworks_session_reuse,,0
h12_n1,cold,k1,profiler__replayer_bytes_mem_accessible.avg,byte,247911403
h12_n1,cold,k1,profiler__replayer_bytes_mem_accessible.max,byte,247911403
h12_n1,cold,k1,profiler__replayer_bytes_mem_accessible.min,byte,247911403
h12_n1,cold,k1,profiler__replayer_bytes_mem_accessible.sum,byte,3718671045
h12_n1,cold,k1,profiler__replayer_bytes_mem_backed_up.avg,byte,247911403
h12_n1,cold,k1,profiler__replayer_bytes_mem_backed_up.max,byte,247911403
h12_n1,cold,k1,profiler__replayer_bytes_mem_backed_up.min,byte,247911403
h12_n1,cold,k1,profiler__replayer_bytes_mem_backed_up.sum,byte,3718671045
h12_n1,cold,k1,profiler__replayer_passes,pass,15
h12_n1,cold,k1,profiler__replayer_passes_type_warmup,pass,0
h12_n1,cold,k1,sm__cycles_active.avg,cycle,70248.30
h12_n1,cold,k1,sm__cycles_active.avg.pct_of_peak_sustained_elapsed,%,88.69
h12_n1,cold,k1,sm__cycles_active.max,cycle,72296
h12_n1,cold,k1,sm__cycles_active.max.pct_of_peak_sustained_elapsed,%,91.27
h12_n1,cold,k1,sm__cycles_active.min,cycle,67520
h12_n1,cold,k1,sm__cycles_active.min.pct_of_peak_sustained_elapsed,%,85.24
h12_n1,cold,k1,sm__cycles_active.sum,cycle,10396749
h12_n1,cold,k1,sm__cycles_active.sum.pct_of_peak_sustained_elapsed,%,88.69
h12_n1,cold,k1,sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed,%,17.79
h12_n1,cold,k1,sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed,%,18.90
h12_n1,cold,k1,sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed,%,16.37
h12_n1,cold,k1,sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed,%,17.79
h12_n1,cold,k1,sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_elapsed,%,33.07
h12_n1,cold,k1,sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_elapsed,%,35.05
h12_n1,cold,k1,sm__inst_executed_pipe_alu.min.pct_of_peak_sustained_elapsed,%,30.27
h12_n1,cold,k1,sm__inst_executed_pipe_alu.sum.pct_of_peak_sustained_elapsed,%,33.07
h12_n1,cold,k1,sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed,%,18.00
h12_n1,cold,k1,sm__inst_executed_pipe_fma.max.pct_of_peak_sustained_elapsed,%,19.08
h12_n1,cold,k1,sm__inst_executed_pipe_fma.min.pct_of_peak_sustained_elapsed,%,16.48
h12_n1,cold,k1,sm__inst_executed_pipe_fma.sum.pct_of_peak_sustained_elapsed,%,18.00
h12_n1,cold,k1,sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed,%,33.12
h12_n1,cold,k1,sm__inst_executed_pipe_lsu.max.pct_of_peak_sustained_elapsed,%,35.11
