input,chunk,token,prefix_log2,exp_fp32,inverse_fp32,decay,inverse
2,64,51,-73.5774612,7.09540436e-23,1.409363e+22,7.11375327e-23,1.40933125e+22
2,64,52,-75.0201569,2.61025223e-23,3.83104737e+22,2.60561893e-23,3.83692277e+22
2,64,53,-76.4628525,9.6025774e-24,1.04138707e+23,9.61597462e-24,1.03892063e+23
2,64,54,-77.9055481,3.53258934e-24,2.83078456e+23,3.541367e-24,2.83341989e+23
2,64,55,-79.3482437,1.2995665e-24,7.69487338e+23,1.29893206e-24,7.69745737e+23
2,64,56,-80.7909393,4.7808363e-25,2.09168424e+24,4.78213792e-25,2.08728599e+24
2,64,57,-82.2336349,1.75877057e-25,5.68578977e+24,1.76098998e-25,5.70461871e+24
2,64,58,-83.6763306,6.47015333e-26,1.54555849e+25,6.46234854e-26,1.54893621e+25
2,64,59,-85.1190262,2.38023525e-26,4.20126533e+25,2.38299102e-26,4.20101722e+25
2,64,60,-86.5617218,8.75639303e-27,1.14202271e+26,8.73426794e-27,1.1424349e+26
2,64,61,-88.0044174,3.2212956e-27,3.10434095e+26,3.21855249e-27,3.0948501e+26
2,64,62,-89.447113,1.185048e-27,8.4384771e+26,1.1864468e-27,8.46248074e+26
2,64,63,-90.8898087,4.3595461e-28,2.29381677e+27,4.3545122e-28,2.29212335e+27
2,64,64,-92.3325043,1.60378674e-28,6.2352427e+27,1.60138764e-28,6.22838582e+27
3,16,1,-4.32808495,0.0497870706,20.085535,0.0498046875,20.125
3,16,2,-8.65616989,0.00247875252,403.428711,0.00247192383,404
3,16,3,-12.9842548,0.000123409845,8103.08105,0.000123023987,8096
3,16,4,-17.3123398,6.14421515e-06,162754.719,6.13927841e-06,162816
3,16,5,-21.6404247,3.05902489e-07,3269015.5,3.05473804e-07,3276800
3,16,6,-25.9685097,1.52299915e-08,65659924,1.52504072e-08,65536000
3,16,7,-30.2965946,7.58256624e-10,1.31881459e+09,7.56699592e-10,1.31701146e+09
3,16,8,-34.6246796,3.77513819e-11,2.64890962e+10,3.77440301e-11,2.64408924e+10
3,16,9,-38.9527664,1.87952822e-12,5.3204838e+11,1.87583282e-12,5.32575945e+11
3,16,10,-43.2808533,9.35760936e-14,1.068649e+13,9.37028233e-14,1.07202384e+13
3,16,11,-47.6089401,4.65887349e-15,2.14644145e+14,4.6629367e-15,2.14404767e+14
3,16,12,-51.937027,2.31951396e-16,4.31124817e+15,2.32452946e-16,4.31008558e+15
3,16,13,-56.2651138,1.15481651e-17,8.65938335e+16,1.15467531e-17,8.66942928e+16
3,16,14,-60.5932007,5.74948635e-19,1.73928583e+18,5.75982404e-19,1.73838946e+18
3,16,15,-64.9212875,2.86249728e-20,3.49345301e+19,2.8587362e-20,3.48758755e+19
3,16,16,-69.2493744,1.42515172e-21,7.01679681e+20,1.42275065e-21,7.00976275e+20
3,32,1,-4.32808495,0.0497870706,20.085535,0.0498046875,20.125
3,32,2,-8.65616989,0.00247875252,403.428711,0.00247192383,404
3,32,3,-12.9842548,0.000123409845,8103.08105,0.000123023987,8096
3,32,4,-17.3123398,6.14421515e-06,162754.719,6.13927841e-06,162816
3,32,5,-21.6404247,3.05902489e-07,3269015.5,3.05473804e-07,3276800
3,32,6,-25.9685097,1.52299915e-08,65659924,1.52504072e-08,65536000
3,32,7,-30.2965946,7.58256624e-10,1.31881459e+09,7.56699592e-10,1.31701146e+09
3,32,8,-34.6246796,3.77513819e-11,2.64890962e+10,3.77440301e-11,2.64408924e+10
3,32,9,-38.9527664,1.87952822e-12,5.3204838e+11,1.87583282e-12,5.32575945e+11
3,32,10,-43.2808533,9.35760936e-14,1.068649e+13,9.37028233e-14,1.07202384e+13
3,32,11,-47.6089401,4.65887349e-15,2.14644145e+14,4.6629367e-15,2.14404767e+14
3,32,12,-51.937027,2.31951396e-16,4.31124817e+15,2.32452946e-16,4.31008558e+15
3,32,13,-56.2651138,1.15481651e-17,8.65938335e+16,1.15467531e-17,8.66942928e+16
3,32,14,-60.5932007,5.74948635e-19,1.73928583e+18,5.75982404e-19,1.73838946e+18
3,32,15,-64.9212875,2.86249728e-20,3.49345301e+19,2.8587362e-20,3.48758755e+19
3,32,16,-69.2493744,1.42515172e-21,7.01679681e+20,1.42275065e-21,7.00976275e+20
3,32,17,-73.5774612,7.09540436e-23,1.409363e+22,7.11375327e-23,1.40933125e+22
3,32,18,-77.9055481,3.53258934e-24,2.83078456e+23,3.541367e-24,2.83341989e+23
3,32,19,-82.2336349,1.75877057e-25,5.68578977e+24,1.76098998e-25,5.70461871e+24
3,32,20,-86.5617218,8.75639303e-27,1.14202271e+26,8.73426794e-27,1.1424349e+26
3,32,21,-90.8898087,4.3595461e-28,2.29381677e+27,4.3545122e-28,2.29212335e+27
3,32,22,-95.2178955,2.17048754e-29,4.60725974e+28,2.16936749e-29,4.61132665e+28
3,32,23,-99.5459824,1.08062086e-30,9.25393954e+29,1.07852077e-30,9.25979149e+29
3,32,24,-103.874069,5.38008836e-32,1.85870568e+31,5.39260384e-32,1.86186182e+31
3,32,25,-108.202156,2.67858483e-33,3.73331458e+32,2.68426486e-33,3.72689276e+32
3,32,26,-112.530243,1.33358732e-34,7.49857172e+33,1.3316e-34,7.50449155e+33
3,32,27,-116.85833,6.63953203e-36,1.50613014e+35,6.62978814e-36,1.50576609e+35
3,32,28,-121.186417,3.30562451e-37,3.02514706e+36,3.30607786e-37,3.03230137e+36
3,32,29,-125.514503,1.64577152e-38,6.07617739e+37,1.64385538e-38,6.08121808e+37
3,32,30,-129.84259,0,inf,0,inf
3,32,31,-134.17067,0,inf,0,inf
3,32,32,-138.498749,0,inf,0,inf
3,64,1,-4.32808495,0.0497870706,20.085535,0.0498046875,20.125
3,64,2,-8.65616989,0.00247875252,403.428711,0.00247192383,404
3,64,3,-12.9842548,0.000123409845,8103.08105,0.000123023987,8096
3,64,4,-17.3123398,6.14421515e-06,162754.719,6.13927841e-06,162816
3,64,5,-21.6404247,3.05902489e-07,3269015.5,3.05473804e-07,3276800
3,64,6,-25.9685097,1.52299915e-08,65659924,1.52504072e-08,65536000
3,64,7,-30.2965946,7.58256624e-10,1.31881459e+09,7.56699592e-10,1.31701146e+09
3,64,8,-34.6246796,3.77513819e-11,2.64890962e+10,3.77440301e-11,2.64408924e+10
3,64,9,-38.9527664,1.87952822e-12,5.3204838e+11,1.87583282e-12,5.32575945e+11
3,64,10,-43.2808533,9.35760936e-14,1.068649e+13,9.37028233e-14,1.07202384e+13
3,64,11,-47.6089401,4.65887349e-15,2.14644145e+14,4.6629367e-15,2.14404767e+14
3,64,12,-51.937027,2.31951396e-16,4.31124817e+15,2.32452946e-16,4.31008558e+15
