gate_case,seed,chunk,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count,model_zero_mask_mismatches,model_inf_mask_mismatches,model_nan_mask_mismatches,model_finite_max_abs_difference
uniform,3,32,direct,0,0,0,0,,,4.5606021083089745e-31,1.0,0.0019297822981627633,0.0005924998730422672,528,0,0,0,0.0
uniform,3,32,factorized,0,0,0,0,,,4.574083617919685e-31,1.00494384765625,0.00494384765625,0.0018250426310428573,528,0,0,0,0.0
uniform,3,64,decay,24,24,0,0,40,41,0.0,0.84375,0.0005414642917341839,0.0006424196512580747,64,0,0,0,0.0
uniform,3,64,inverse,0,0,23,0,41,42,1.1875,2.6318714316541334e+38,,,64,0,0,0,0.0
uniform,3,64,direct,287,287,0,0,820,,0.0,1.0,0.0019297822981627633,0.000651625705284998,2080,0,0,0,0.0
uniform,3,64,factorized,984,984,0,276,820,,0.0,1.00494384765625,,,2080,0,0,0,0.0
mixed,3,16,decay,0,0,0,0,,,3.9577484130859375e-05,0.98828125,0.0018955744362042504,0.001284820751801126,16,0,0,0,0.0
mixed,3,16,inverse,0,0,0,0,,,1.0078125,25344.0,11.66067600169481,0.00029282810943061845,16,0,0,0,0.0
mixed,3,16,direct,0,0,0,0,,,3.981590270996094e-05,1.0,0.0018955744362042504,0.0011826970938129055,136,0,0,0,0.0
mixed,3,16,factorized,0,0,0,0,,,3.9886683225631714e-05,1.0052490234375,0.0052490234375,0.0024761295661932707,136,0,0,0,0.0
mixed,3,32,decay,0,0,0,0,,,1.5570549294352531e-09,0.98828125,0.0018955744362042504,0.001284820751979786,32,0,0,0,0.0
mixed,3,32,inverse,0,0,0,0,,,1.0078125,641728512.0,1986857.2826396227,0.0020071770933760193,32,0,0,0,0.0
mixed,3,32,direct,0,0,0,0,,,1.57160684466362e-09,1.0,0.0018955744362042504,0.0011856255864959558,528,0,0,0,0.0
mixed,3,32,factorized,0,0,0,0,,,1.569219421071466e-09,1.0052490234375,0.005485237972253421,0.0024123989308277144,528,0,0,0,0.0
mixed,3,64,decay,0,0,0,0,,,1.6517142471458857e-20,0.98828125,0.0018955744362042504,0.001284820751979786,64,0,0,0,0.0
mixed,3,64,inverse,0,0,0,0,,,1.0078125,6.052837899185947e+19,3.858757715041485e+16,0.0004256813698597505,64,0,0,0,0.0
mixed,3,64,direct,0,0,0,0,,,1.6728900708272432e-20,1.0,0.0018955744362042504,0.0011921800115351976,2080,0,0,0,0.0
mixed,3,64,factorized,0,0,0,0,,,1.664618264701713e-20,1.0052490234375,0.005485237972253421,0.0022084743064134937,2080,0,0,0,0.0
uniform,4,16,decay,0,0,0,0,,,1.2847795743953228e-17,0.091796875,0.000241752661579539,0.0026265514369760747,16,0,0,0,0.0
uniform,4,16,inverse,0,0,0,0,,,10.875,7.768709357214106e+16,197981729383920.0,0.0025128480363376298,16,0,0,0,0.0
uniform,4,16,direct,0,0,0,0,,,1.3964523981613297e-16,1.0,0.0010790661339805663,0.0003470198482000418,136,0,0,0,0.0
uniform,4,16,factorized,0,0,0,0,,,1.3971977871549135e-16,1.0048828125,0.0048828125,0.0024505774505785977,136,0,0,0,0.0
