input,chunk,i,j,direct,factorized
0,64,27,19,1,1
0,64,27,20,1,1
0,64,27,21,1,1
0,64,27,22,1,1
0,64,27,23,1,1
0,64,27,24,1,1
0,64,27,25,1,1
0,64,27,26,1,1
0,64,27,27,1,1
0,64,28,1,1,1
0,64,28,2,1,1
0,64,28,3,1,1
0,64,28,4,1,1
0,64,28,5,1,1
0,64,28,6,1,1
0,64,28,7,1,1
0,64,28,8,1,1
0,64,28,9,1,1
0,64,28,10,1,1
0,64,28,11,1,1
0,64,28,12,1,1
0,64,28,13,1,1
0,64,28,14,1,1
0,64,28,15,1,1
0,64,28,16,1,1
0,64,28,17,1,1
0,64,28,18,1,1
0,64,28,19,1,1
0,64,28,20,1,1
0,64,28,21,1,1
0,64,28,22,1,1
0,64,28,23,1,1
0,64,28,24,1,1
0,64,28,25,1,1
0,64,28,26,1,1
0,64,28,27,1,1
0,64,28,28,1,1
0,64,29,1,1,1
0,64,29,2,1,1
0,64,29,3,1,1
0,64,29,4,1,1
0,64,29,5,1,1
0,64,29,6,1,1
0,64,29,7,1,1
0,64,29,8,1,1
0,64,29,9,1,1
0,64,29,10,1,1
0,64,29,11,1,1
0,64,29,12,1,1
0,64,29,13,1,1
0,64,29,14,1,1
0,64,29,15,1,1
0,64,29,16,1,1
0,64,29,17,1,1
0,64,29,18,1,1
0,64,29,19,1,1
0,64,29,20,1,1
0,64,29,21,1,1
0,64,29,22,1,1
0,64,29,23,1,1
0,64,29,24,1,1
0,64,29,25,1,1
0,64,29,26,1,1
0,64,29,27,1,1
0,64,29,28,1,1
0,64,29,29,1,1
0,64,30,1,1,1
0,64,30,2,1,1
0,64,30,3,1,1
0,64,30,4,1,1
0,64,30,5,1,1
0,64,30,6,1,1
0,64,30,7,1,1
0,64,30,8,1,1
0,64,30,9,1,1
0,64,30,10,1,1
0,64,30,11,1,1
0,64,30,12,1,1
0,64,30,13,1,1
0,64,30,14,1,1
0,64,30,15,1,1
0,64,30,16,1,1
0,64,30,17,1,1
0,64,30,18,1,1
0,64,30,19,1,1
0,64,30,20,1,1
0,64,30,21,1,1
0,64,30,22,1,1
0,64,30,23,1,1
0,64,30,24,1,1
0,64,30,25,1,1
0,64,30,26,1,1
0,64,30,27,1,1
0,64,30,28,1,1
0,64,30,29,1,1
0,64,30,30,1,1
0,64,31,1,1,1
0,64,31,2,1,1
0,64,31,3,1,1
0,64,31,4,1,1
0,64,31,5,1,1
0,64,31,6,1,1
0,64,31,7,1,1
0,64,31,8,1,1
0,64,31,9,1,1
0,64,31,10,1,1
0,64,31,11,1,1
0,64,31,12,1,1
0,64,31,13,1,1
0,64,31,14,1,1
0,64,31,15,1,1
0,64,31,16,1,1
0,64,31,17,1,1
0,64,31,18,1,1
0,64,31,19,1,1
0,64,31,20,1,1
0,64,31,21,1,1
0,64,31,22,1,1
0,64,31,23,1,1
0,64,31,24,1,1
0,64,31,25,1,1
0,64,31,26,1,1
0,64,31,27,1,1
0,64,31,28,1,1
0,64,31,29,1,1
0,64,31,30,1,1
