shape,m,n,k,batch,repeats,method,round,median_us,min_us,max_us,us_per_gemm
gram,16,16,128,12,32,tc_direct,1,23.18720022837321,23.175466060638428,23.245867093404133,0.7246000071366628
gram,16,16,128,12,32,sm80_w4,1,22.79146711031596,22.76693383852641,22.846933205922443,0.7122333471973737
gram,16,16,128,12,32,sm80_w1,2,23.283199469248455,23.27466607093811,23.413334290186565,0.7275999834140142
gram,16,16,128,12,32,sm80_pad_w4,2,23.41653307278951,23.32479953765869,23.460266987482708,0.7317666585246722
gram,16,16,128,12,32,tc_direct,2,23.185066382090252,23.17439913749695,23.270400365193684,0.7245333244403204
gram,16,16,128,12,32,sm80_transpose_w4,2,22.85120089848836,22.77333339055379,22.90453314781189,0.7141000280777613
gram,16,16,128,12,32,tc_transpose,2,22.71359960238139,22.630399465560913,22.77546723683675,0.7097999875744184
gram,16,16,128,12,32,sm80_w8,2,18.670932451883953,18.603734175364178,18.68480046590169,0.5834666391213735
gram,16,16,128,12,32,sm80_w4,2,22.794665892918903,22.779732942581177,22.90346622467041,0.7123333091537157
gram,16,16,128,12,32,sm80_w8,3,18.68480046590169,18.62293283144633,18.746666113535564,0.5839000145594279
gram,16,16,128,12,32,sm80_w1,3,23.32906723022461,23.25226664543152,23.386667172114056,0.729033350944519
gram,16,16,128,12,32,sm80_w4,3,22.780799865722656,22.769065697987873,22.846933205922443,0.711899995803833
gram,16,16,128,12,32,tc_transpose,3,22.69866665204366,22.630399465560913,22.771199544270832,0.7093333328763644
gram,16,16,128,12,32,sm80_pad_w4,3,23.39093287785848,23.38026762008667,23.451733589172363,0.7309666524330775
gram,16,16,128,12,32,sm80_transpose_w4,3,22.845866282780964,22.79040018717448,22.913066546122234,0.7139333213369051
gram,16,16,128,12,32,tc_direct,3,23.18720022837321,23.181867599487305,23.25119972229004,0.7246000071366628
gram,16,16,128,12,32,tc_transpose,4,22.701867421468098,22.667733828226726,22.710400819778442,0.709433356920878
gram,16,16,128,12,32,sm80_w8,4,18.68480046590169,18.60586603482564,18.749866882960003,0.5839000145594279
gram,16,16,128,12,32,tc_direct,4,23.25119972229004,23.18720022837321,23.260800043741863,0.7265999913215637
gram,16,16,128,12,32,sm80_w1,4,23.316266139348347,23.314134279886883,23.342933257420857,0.7286333168546358
gram,16,16,128,12,32,sm80_pad_w4,4,23.386667172114056,23.38026762008667,23.45493237177531,0.7308333491285642
gram,16,16,128,12,32,sm80_transpose_w4,4,22.839466730753582,22.837332884470623,22.858667373657227,0.7137333353360494
gram,16,16,128,12,32,sm80_w4,4,22.81493345896403,22.778666019439697,22.849067052205402,0.712966670592626
gram,16,16,128,96,1,sm80_transpose_w4,0,10.910933216412863,10.894933342933655,10.962133606274923,10.910933216412863
gram,16,16,128,96,1,sm80_w1,0,11.371733744939169,11.36959989865621,11.37493352095286,11.371733744939169
gram,16,16,128,96,1,sm80_w8,0,6.647466619809468,6.599466502666473,6.659199794133504,6.647466619809468
gram,16,16,128,96,1,sm80_pad_w4,0,11.501866579055786,11.499733726183573,11.522133151690165,11.501866579055786
gram,16,16,128,96,1,tc_transpose,0,12.486400206883749,12.479999661445618,12.528000275293985,12.486400206883749
gram,16,16,128,96,1,tc_direct,0,13.004799683888754,13.00266683101654,13.033599654833475,13.004799683888754
gram,16,16,128,96,1,sm80_w4,0,10.891733566919962,10.885333021481832,10.923733313878378,10.891733566919962
gram,16,16,128,96,1,sm80_w1,1,11.37066682179769,11.367467045783997,11.39520009358724,11.37066682179769
gram,16,16,128,96,1,sm80_w4,1,10.894933342933655,10.875733693440756,10.943999886512756,10.894933342933655
gram,16,16,128,96,1,sm80_w8,1,6.600533425807953,6.592000027497609,6.657066444555919,6.600533425807953
gram,16,16,128,96,1,tc_direct,1,13.026133179664612,12.995200355847677,13.040000200271606,13.026133179664612
gram,16,16,128,96,1,sm80_transpose_w4,1,10.9525332848231,10.888533790906271,10.955733060836792,10.9525332848231
gram,16,16,128,96,1,tc_transpose,1,12.523733576138815,12.48853305975596,12.5408003727595,12.523733576138815
gram,16,16,128,96,1,sm80_pad_w4,1,11.510399977366129,11.498666803042093,11.526399850845337,11.510399977366129
gram,16,16,128,96,1,tc_transpose,2,12.534399827321371,12.523733576138815,12.537599603335062,12.534399827321371
gram,16,16,128,96,1,sm80_w4,2,10.894933342933655,10.886399944623312,10.901332894961039,10.894933342933655
gram,16,16,128,96,1,sm80_pad_w4,2,11.510399977366129,11.502933502197266,11.520000298817953,11.510399977366129
gram,16,16,128,96,1,sm80_w8,2,6.623999774456024,6.598400076230367,6.653866668542226,6.623999774456024
gram,16,16,128,96,1,tc_direct,2,13.005866607030233,13.001599907875061,13.027200102806091,13.005866607030233
gram,16,16,128,96,1,sm80_w1,2,11.379200220108032,11.359999577204386,11.40053371588389,11.379200220108032
gram,16,16,128,96,1,sm80_transpose_w4,2,10.916266838709513,10.898133118947348,10.966400305430094,10.916266838709513
gram,16,16,128,96,1,tc_direct,3,13.009066383043924,13.00373375415802,13.014400005340576,13.009066383043924
gram,16,16,128,96,1,tc_transpose,3,12.532266974449158,12.477866808573404,12.53653367360433,12.532266974449158
gram,16,16,128,96,1,sm80_transpose_w4,3,10.957866907119751,10.894933342933655,10.964266459147135,10.957866907119751
gram,16,16,128,96,1,sm80_w4,3,10.884267091751099,10.88320016860962,10.917333761850992,10.884267091751099
gram,16,16,128,96,1,sm80_pad_w4,3,11.500799655914307,11.496532956759134,11.505066355069479,11.500799655914307
