shape,m,n,k,batch,repeats,method,round,median_us,min_us,max_us,us_per_gemm
gram,16,16,128,96,1,sm80_w8,3,6.656000018119812,6.594133377075195,6.658133367697398,6.656000018119812
gram,16,16,128,96,1,sm80_w1,3,11.372799674669901,11.363200346628824,11.388799548149109,11.372799674669901
gram,16,16,128,96,1,sm80_pad_w4,4,11.507200201352438,11.497599879900614,11.517866452534994,11.507200201352438
gram,16,16,128,96,1,sm80_w1,4,11.37066682179769,11.363200346628824,11.40053371588389,11.37066682179769
gram,16,16,128,96,1,sm80_transpose_w4,4,10.957866907119751,10.909866293271383,10.966400305430094,10.957866907119751
gram,16,16,128,96,1,sm80_w4,4,10.884267091751099,10.88106632232666,10.914132992426554,10.884267091751099
gram,16,16,128,96,1,sm80_w8,4,6.613333523273468,6.594133377075195,6.663466493288676,6.613333523273468
gram,16,16,128,96,1,tc_transpose,4,12.53653367360433,12.487467130025228,12.537599603335062,12.53653367360433
gram,16,16,128,96,1,tc_direct,4,13.014400005340576,12.99626628557841,13.018666704495748,13.014400005340576
gram,16,16,128,96,32,sm80_transpose_w4,0,23.11253348986308,23.04319938023885,23.11786611874898,0.7222666715582212
gram,16,16,128,96,32,sm80_pad_w4,0,23.72693419456482,23.62133264541626,23.738666375478108,0.7414666935801506
gram,16,16,128,96,32,sm80_w1,0,23.54453404744466,23.526400327682495,23.592533667882282,0.7357666889826456
gram,16,16,128,96,32,sm80_w4,0,23.048533995946247,23.038933674494427,23.13599983851115,0.7202666873733202
gram,16,16,128,96,32,sm80_w8,0,18.81493330001831,18.736000855763752,18.824533621470135,0.5879666656255722
gram,16,16,128,96,32,tc_direct,0,23.394133647282917,23.383466402689617,23.450666666030884,0.7310666764775912
gram,16,16,128,96,32,tc_transpose,0,22.908800840377808,22.855466604232788,22.93226718902588,0.7159000262618065
gram,16,16,128,96,32,sm80_pad_w4,1,23.686399062474568,23.660800854365032,23.757867018381756,0.7401999707023302
gram,16,16,128,96,32,tc_direct,1,23.385600248972576,23.360000054041546,23.451733589172363,0.730800007780393
gram,16,16,128,96,32,sm80_w8,1,18.81813406944275,18.741333484649658,18.834133942921955,0.5880666896700859
gram,16,16,128,96,32,sm80_w1,1,23.591466744740803,23.51680000623067,23.601067066192627,0.7372333357731501
gram,16,16,128,96,32,sm80_transpose_w4,1,23.10826579729716,23.046400149663288,23.115734259287517,0.7221333061655363
gram,16,16,128,96,32,sm80_w4,1,23.04213245709737,23.002666234970093,23.11039964358012,0.7200666392842928
gram,16,16,128,96,32,tc_transpose,1,22.870399554570515,22.836265961329143,22.9802668094635,0.7146999860803286
gram,16,16,128,96,32,tc_transpose,2,22.914133469263714,22.84053365389506,22.966400782267254,0.716066670914491
gram,16,16,128,96,32,sm80_transpose_w4,2,23.11360041300456,23.04533322652181,23.128533363342285,0.7223000129063925
gram,16,16,128,96,32,sm80_w4,2,23.049600919087727,23.047467072804768,23.057067394256592,0.7203000287214915
gram,16,16,128,96,32,sm80_w8,2,18.811732530593872,18.7391996383667,18.873600165049236,0.5878666415810585
gram,16,16,128,96,32,tc_direct,2,23.37920069694519,23.319466908772785,23.45493237177531,0.7306000217795372
gram,16,16,128,96,32,sm80_w1,2,23.538132508595783,23.51573308308919,23.601067066192627,0.7355666408936182
gram,16,16,128,96,32,sm80_pad_w4,2,23.72480034828186,23.67039918899536,23.745065927505493,0.7414000108838081
gram,16,16,128,96,32,sm80_w8,3,18.810667594273884,18.75306765238444,18.833067019780476,0.5878333623210589
gram,16,16,128,96,32,tc_direct,3,23.39093287785848,23.319466908772785,23.462400833765667,0.7309666524330775
gram,16,16,128,96,32,sm80_pad_w4,3,23.668267329533894,23.662932713826496,23.86560042699178,0.7396333540479342
